Team_Name,Team_Index,Entity_Code,Entity_index,theta,alpha_s,beta,S_prime,,,
Baseline - Sterman 89,0,R,1,0.36,0.26,0.34,17,,,
Baseline - Sterman 89,0,w,2,0.36,0.26,0.34,17,,,
Baseline - Sterman 89,0,D,3,0.36,0.26,0.34,17,,,
Baseline - Sterman 89,0,F,4,0.36,0.26,0.34,17,,,
Bassbeer - Sterman 89,1,R,1,0.9,0.1,0.65,20,,,
Bassbeer - Sterman 89,1,w,2,0,0.25,0.5,27,,,
Bassbeer - Sterman 89,1,D,3,0.15,0.05,0.35,14,,,
Bassbeer - Sterman 89,1,F,4,1,0.65,0.4,15,,,
Budweiser - Sterman 89,2,R,1,0,0.4,0.1,7,,,
Budweiser - Sterman 89,2,w,2,0,0.4,0.75,30,,,
Budweiser - Sterman 89,2,D,3,0,0.3,0.1,10,,,
Budweiser - Sterman 89,2,F,4,0.25,0.25,0.1,9,,,
Coors - Sterman 89,3,R,1,0,0.2,0,25,,,
Coors - Sterman 89,3,w,2,0,0.15,0.5,38,,,
Coors - Sterman 89,3,D,3,0.9,0.3,0.2,10,,,
Coors - Sterman 89,3,F,4,0.25,0.3,0,18,,,
Free beer - Sterman 89,4,R,1,0.4,0.35,0.45,15,,,
Free beer - Sterman 89,4,w,2,0.3,0.05,0,30,,,
Free beer - Sterman 89,4,D,3,0.05,0.35,1,18,,,
Free beer - Sterman 89,4,F,4,0.25,0.25,0,19,,,
Grin  & Beer It - Sterman 89,5,R,1,0.1,0.35,0.65,13,,,
Grin  & Beer It - Sterman 89,5,w,2,0.95,0.15,0.55,14,,,
Grin  & Beer It - Sterman 89,5,D,3,0.2,0.2,0.3,19,,,
Grin  & Beer It - Sterman 89,5,F,4,0.25,0.35,0.55,24,,,
Grizzly - Sterman 89,6,R,1,0.05,0.3,0.65,31,,,
Grizzly - Sterman 89,6,w,2,0.3,0.2,0.35,27,,,
Grizzly - Sterman 89,6,D,3,0.15,0.05,0.25,15,,,
Grizzly - Sterman 89,6,F,4,0.55,0.65,0,9,,,
Heinekenl - Sterman 89,7,R,1,0.95,0.15,0,9,,,
Heinekenl - Sterman 89,7,w,2,0.5,0,,,,,
Heinekenl - Sterman 89,7,D,3,0.2,0.3,0.05,8,,,
Heinekenl - Sterman 89,7,F,4,0.8,0,,,,,
Heineken2 - Sterman 89,8,R,1,0.5,0.05,0.6,6,,,
Heineken2 - Sterman 89,8,w,2,0.4,0.1,0.3,16,,,
Heineken2 - Sterman 89,8,D,3,1,0.15,0.8,14,,,
Heineken2 - Sterman 89,8,F,4,0.55,0.8,0,9,,,
Heineken3 - Sterman 89,9,R,1,0.05,0.3,0.45,5,,,
